順位,貸出数,書誌情報,分類,ＩＳＢＮ
29,22,かいけつゾロリのママだーいすき　　（ポプラ社の新・小さな童話 52）　原 ゆたか／さく・え　ポプラ社　1991.8　22cm　85p,913.6,4-591-03052-0
29,22,ルルとララのしらたまデザート　　（おはなしトントン 34 Maple Street [「ルルとララ」シリーズ] [15]）　あんびる やすこ／作・絵　岩崎書店　2012.6　22cm　71p,913.6,4-265-06299-7
37,21,おおかみだあ!　　（ポプラせかいの絵本 39）　セドリック・ラマディエ／ぶん　ポプラ社　2014.3　25cm　[24p],E,4-591-13909-7
37,21,おばけなんてないさ　　（せなけいこのえ・ほ・ん 5）　せな けいこ／絵　ポプラ社　2009.7　21×21cm　32p,E,4-591-11048-5
37,21,かいけつゾロリカレーvs.ちょうのうりょく　　（ポプラ社の新・小さな童話 237 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2008.7　22cm　105p,913.6,4-591-10396-8
37,21,かいけつゾロリとなぞのひこうき　　（ポプラ社の新・小さな童話 106 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1994.11　22cm　84p,913.6,4-591-04623-0
37,21,かいけつゾロリのきょうふの宝さがし　　（ポプラ社の新・小さな童話 171 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1999.7　22cm　93p,913.6,4-591-06133-7
37,21,かいけつゾロリのきょうふのゆうえんち　　（ポプラ社の新・小さな童話 43）　原 ゆたか／さく・え　ポプラ社　1991.2　22cm　85p,913.6,4-591-03043-1
37,21,かいけつゾロリのだ・だ・だ・だいぼうけん!　後編　　（[ポプラ社の新・小さな童話] [255] かいけつゾロリシリーズ 48）　原 ゆたか／さく・え　ポプラ社　2010.12　22cm　98p,913.6,4-591-12200-6
37,21,かいけつゾロリのなぞのうちゅうじん　　（ポプラ社の新・小さな童話 66 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1992.7　22cm　86p,913.6,4-591-03066-0
37,21,かいけつゾロリのにんじゃ大さくせん　　（ポプラ社の新・小さな童話 127 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1995.12　22cm　95p,913.6,4-591-04898-5
37,21,ぎゅうってだいすき　　（あかちゃんのあそびえほん 12 0・1・2才のほん）　きむら ゆういち／さく　偕成社　2009.10　22cm　[28p],E,4-03-131120-5
37,21,パンやのろくちゃん　　（おひさまのほん）　長谷川 義史／作　小学館　2006.10　27cm　1冊(ページ付なし),E,4-09-727883-5
37,21,マッチ箱日記　ポール・フライシュマン／文　BL出版　2013.8　28cm　[38p],E,4-7764-0605-1
37,21,ミッケ!　6　ウォルター・ウィック／写真　小学館　1999　31?　32p,E,4-09-727096-6
50,20,かいけつゾロリのきょうふのプレゼント　　（ポプラ社の新・小さな童話 75 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1992.12　22cm　85p,913.6,4-591-03075-X
50,20,かいけつゾロリはなよめとゾロリじょう　　（[ポプラ社の新・小さな童話] [266] かいけつゾロリシリーズ 50）　原 ゆたか／さく・え　ポプラ社　2011.12　22cm　100p,913.6,4-591-12682-0
50,20,ぐりとぐら　　（こどものとも傑作集 21）　中川 李枝子／さく　福音館書店　1980　19×27cm　27p,E,4-8340-0082-6
50,20,チャレンジミッケ!　4　ウォルター・ウィック／作　小学館　2006.12　26×26cm　26p,E,4-09-726084-7
50,20,チャレンジミッケ!　8　ウォルター・ウィック／作　小学館　2011.11　26×26cm　26p,E,4-09-726088-2
50,20,動物と話せる少女リリアーネ　1　タニヤ・シュテーブナー／著　学研教育出版　2010.7　19cm　211p,943,4-05-203248-6
50,20,はなかっぱのだいぼうけん　あきやま ただし／著　メディアファクトリー　2010.6　24cm　1冊(ページ付なし),E,4-8401-3430-9
50,20,ひまわり　荒井 真紀／文・絵　金の星社　2013.6　25cm　[32p],E,4-323-07272-2
50,20,ぼくがラーメンたべてるとき　長谷川 義史／作 絵　教育画劇　2007.7　27cm　[32p],E,4-7746-1057-3
