順位,貸出数,書誌情報,分類,ＩＳＢＮ
34,52,かいけつゾロリのなぞのおたから大さくせん　後編　　（ポプラ社の新・小さな童話 222 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2006.3　22cm　101p,913.6,4-591-09184-8
34,52,ねずみくんのチョッキ　　（ねずみくんの絵本 1）　なかえ よしを／作　ポプラ社　2000.2　25cm　31p,E,4-591-00465-1
36,51,バムとケロのにちようび　島田 ゆか／作 絵　文渓堂　1994.9　22×28cm　1冊,E,4-89423-042-9
37,50,かいけつゾロリのだ・だ・だ・だいぼうけん!　前編　　（[ポプラ社の新・小さな童話] [252] かいけつゾロリシリーズ 47）　原 ゆたか／さく・え　ポプラ社　2010.7　22cm　103p,913.6,4-591-11951-8
38,49,かいけつゾロリのきょうふのカーレース　　（ポプラ社の新・小さな童話 156 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1997.7　22cm　94p,913.6,4-591-05433-0
38,49,かいけつゾロリのだ・だ・だ・だいぼうけん!　後編　　（[ポプラ社の新・小さな童話] [255] かいけつゾロリシリーズ 48）　原 ゆたか／さく・え　ポプラ社　2010.12　22cm　98p,913.6,4-591-12200-6
38,49,まるさんかくぞう　及川 賢治／作　文溪堂　2008.6　22cm　[20p],E,4-89423-587-8
41,48,おててがでたよ　　（福音館 あかちゃんの絵本 くつくつあるけのほん 2）　林 明子／さく　福音館書店　1986.6　19×19cm　1冊,E,4-8340-0683-2
41,48,かいけつゾロリイシシ・ノシシ大ピンチ!!　　（ポプラ社の新・小さな童話 240 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2008.12　22cm　103p,913.6,4-591-10687-7
41,48,かいけつゾロリはなよめとゾロリじょう　　（[ポプラ社の新・小さな童話] [266] かいけつゾロリシリーズ 50）　原 ゆたか／さく・え　ポプラ社　2011.12　22cm　100p,913.6,4-591-12682-0
41,48,バムとケロのそらのたび　島田 ゆか／作 絵　文渓堂　1995.10　22×28cm　1冊,E,4-89423-092-5
41,48,バーバパパのだいサーカス　　（講談社のバーバパパえほん）　アネット=チゾン／さく　講談社　1980　22×27cm　32p,E,4-06-128765-6
41,48,ぴょーん　　（はじめてのぼうけん 1）　まつおか たつひで／作・絵　ポプラ社　2000.6　16×16cm　37p,E,4-591-06476-X
41,48,わにのはいた　　（ゆかいなゆかいなおはなし）　マーガリット・ドリアン／ぶんとえ　大日本図書　2010.3　22cm　52p,933,4-477-02080-8
48,47,かいけつゾロリきょうふのようかいえんそく　　（[ポプラ社の新・小さな童話] [247] かいけつゾロリシリーズ 46）　原 ゆたか／さく・え　ポプラ社　2009.12　22cm　111p,913.6,4-591-11273-1
48,47,かいけつゾロリなぞのスパイと100本のバラ　　（[ポプラ社の新・小さな童話] [280] かいけつゾロリシリーズ 53）　原 ゆたか／さく・え　ポプラ社　2013.7　22cm　103p,913.6,4-591-13512-9
48,47,かいけつゾロリのなぞのうちゅうじん　　（ポプラ社の新・小さな童話 66 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1992.7　22cm　86p,913.6,4-591-03066-0
48,47,かいけつゾロリのはちゃめちゃテレビ局　　（[ポプラ社の新・小さな童話] [261] かいけつゾロリシリーズ 49）　原 ゆたか／さく・え　ポプラ社　2011.7　22cm　100p,913.6,4-591-12507-6
48,47,バムとケロのおかいもの　島田 ゆか／作 絵　文渓堂　1999.2　22×28cm　1冊,E,4-89423-210-3
