順位,貸出数,書誌情報,分類,ＩＳＢＮ
42,27,祈りの証明　森村 誠一／著　KADOKAWA　2014.2　20cm　333p,913.6,4-04-110689-1
42,27,黄金の太刀　　（刀剣商ちょうじ屋光三郎 [2]）　山本 兼一／著　講談社　2011.9　20cm　283p,913.6,4-06-217199-1
42,27,回廊封鎖　佐々木 譲／著　集英社　2012.8　20cm　301p,913.6,4-08-771467-8
42,27,疑人用いず、用人疑わず　山崎 勝彦／著　日経BP社　2010.2　19cm　293p,289.2,4-8222-4796-6
42,27,黒書院の六兵衛　上　浅田 次郎／著　日本経済新聞出版社　2013.10　20cm　277p,913.6,4-532-17123-0
42,27,五二屋(ぐにや)傳蔵　山本 一力／著　朝日新聞出版　2013.3　20cm　468p,913.6,4-02-251063-1
42,27,欠落　今野 敏／著　講談社　2013.1　20cm　340p,913.6,4-06-218039-9
42,27,鮫島の貌　　（[新宿鮫]）　大沢 在昌／著　光文社　2012.1　20cm　281p,913.6,4-334-92799-8
42,27,東雲の途　　（[「弥勒」シリーズ] [4]）　あさの あつこ／著　光文社　2012.2　20cm　333p,913.6,4-334-92804-9
42,27,所轄魂　　（[所轄魂] [1]）　笹本 稜平／著　徳間書店　2012.1　20cm　418p,913.6,4-19-863321-9
42,27,白い疵　永瀬 隼介／著　さくら舎　2013.9　19cm　362p,913.6,4-906732-51-7
42,27,"新・心理学の基礎知識　　（有斐閣ブックス 681）　中島 義明／編　有斐閣　2005.1　22cm　10,546p",140,4-641-18311-2
42,27,図解よくわかる行政不服申立てのしくみ　金岡 昭／著　学陽書房　2006.7　21cm　243p,323.96,4-313-16562-2
42,27,代官山コールドケース　佐々木 譲／著　文藝春秋　2013.8　20cm　468p,913.6,4-16-382390-4
42,27,転迷　　（隠蔽捜査 4）　今野 敏／著　新潮社　2011.9　20cm　337p,913.6,4-10-300255-0
42,27,ドンナビアンカ　誉田 哲也／著　新潮社　2013.2　20cm　343p,913.6,4-10-465204-4
42,27,名もなき日々を　　（髪結い伊三次捕物余話 [12]）　宇江佐 真理／著　文藝春秋　2013.11　20cm　266p,913.6,4-16-382800-8
42,27,内通者　堂場 瞬一／著　朝日新聞出版　2014.2　19cm　397p,913.6,4-02-251144-7
42,27,萩殺人事件　　（[浅見光彦シリーズ]）　内田 康夫／著　光文社　2012.10　20cm　488p,913.6,4-334-92833-9
42,27,ブラック・ジャック　4　手塚 治虫／著　秋田書店　1987　20cm　302p,726.1,4-253-09972-6
42,27,ブラック・ジャック　9　手塚 治虫／著　秋田書店　1988　20cm　309p,726.1,4-253-09977-7
42,27,ブラック・ジャック　12　手塚 治虫／著　秋田書店　1989　20cm　302p,726.1,4-253-09980-7
42,27,まいない節　山本 一力／著　PHP研究所　2014.3　20cm　573p,913.6,4-569-81811-5
42,27,マーラーの交響曲　　（講談社現代新書 2132）　金 聖響／著　講談社　2011.12　18cm　366p,764.31,4-06-288132-6
42,27,もう一枝あれかし　あさの あつこ／著　文藝春秋　2013.8　20cm　232p,913.6,4-16-382380-5
42,27,"よりぬきサザエさん　NO,10　長谷川 町子／著　朝日新聞出版　2013.3　22cm　128,7p",726.1,4-02-258920-0
42,27,"よりぬきサザエさん　NO,11　長谷川 町子／著　朝日新聞出版　2013.3　22cm　128,7p",726.1,4-02-258921-7
71,26,相も変わらずきりきり舞い　諸田 玲子／著　光文社　2014.2　20cm　285p,913.6,4-334-92926-8
71,26,海と月の迷路　大沢 在昌／著　毎日新聞社　2013.9　20cm　561p,913.6,4-620-10796-7
71,26,御役目は影働き　浮穴 みみ／著　中央公論新社　2013.7　20cm　325p,913.6,4-12-004521-9
71,26,黒書院の六兵衛　下　浅田 次郎／著　日本経済新聞出版社　2013.10　20cm　253p,913.6,4-532-17124-7
71,26,限界捜査　安東 能明／著　祥伝社　2013.11　20cm　391p,913.6,4-396-63424-7
71,26,酒田さ行ぐさげ　宇江佐 真理／著　実業之日本社　2012.1　20cm　253p,913.6,4-408-53601-9
71,26,鯖猫長屋ふしぎ草紙　田牧 大和／著　PHP研究所　2013.6　19cm　285p,913.6,4-569-81248-9
71,26,執着　　（捜査一課・澤村慶司 [3]）　堂場 瞬一／著　角川書店　2013.2　20cm　388p,913.6,4-04-110394-4
71,26,新編日本古典文学全集　44　小学館　1995.3　23cm　606p,918,4-09-658044-9
71,26,鼠、影を断つ　赤川 次郎／著　角川書店　2011.3　20cm　256p,913.6,4-04-874184-2
71,26,ネルソン提督伝　C.S.フォレスター／著　東洋書林　2002.11　20cm　302p,289.3,4-88721-593-2
71,26,花宴　あさの あつこ／著　朝日新聞出版　2012.7　20cm　223p,913.6,4-02-250990-1
71,26,人質　　（[道警シリーズ] [6]）　佐々木 譲／[著]　角川春樹事務所　2012.12　20cm　293p,913.6,4-7584-1207-0
71,26,古手屋喜十為事覚え　宇江佐 真理／著　新潮社　2011.9　20cm　253p,913.6,4-10-442205-0
71,26,ブラック・ジャック　6　手塚 治虫／著　秋田書店　1987　20cm　328p,726.1,4-253-09974-2
71,26,ブラック・ジャック　8　手塚 治虫／著　秋田書店　1988　20cm　324p,726.1,4-253-09976-9
71,26,ブラック・ジャック　10　手塚 治虫／著　秋田書店　1989　20cm　311p,726.1,4-253-09978-5
71,26,ブラック・ジャック　14　手塚 治虫／著　秋田書店　1995.8　20cm　302p,726.1,4-253-09982-3
71,26,ブラック・ジャック　15　手塚 治虫／著　秋田書店　2000.12　20cm　296p,726.1,4-253-09983-1
71,26,ブルーマーダー　　（[姫川玲子シリーズ] [5]）　誉田 哲也／著　光文社　2012.11　20cm　436p,913.6,4-334-92855-1
71,26,雪まろげ　宇江佐 真理／著　新潮社　2013.10　20cm　253p,913.6,4-10-442206-7
92,25,秋霧の街　柴田 哲孝／著　祥伝社　2012.5　20cm　347p,913.6,4-396-63385-1
92,25,雨の底　　（慶次郎縁側日記 [15]）　北原 亞以子／著　新潮社　2013.12　20cm　269p,913.6,4-10-389222-9
92,25,炎上　　（警察庁情報分析支援第二室<裏店> [1]）　遠藤 武文／著　光文社　2012.3　20cm　279p,913.6,4-334-92813-1
92,25,おたふく　山本 一力／著　日本経済新聞出版社　2010.3　20cm　481p,913.6,4-532-17099-8
92,25,おもかげ橋　葉室 麟／著　幻冬舎　2013.1　20cm　297p,913.6,4-344-02318-5
92,25,海賊とよばれた男　下　百田 尚樹／著　講談社　2012.7　20cm　362p,913.6,4-06-217565-4
92,25,麒麟の翼　　（[加賀恭一郎シリーズ]）　東野 圭吾／著　講談社　2011.3　20cm　325p,913.6,4-06-216806-9
92,25,魚　　（小学館の図鑑NEO 4）　井田 齊／監修・執筆　小学館　2003.3　29cm　199p,487.5,4-09-217204-4
92,25,さわらびの譜　葉室 麟／著　角川書店　2013.9　20cm　265p,913.6,4-04-110549-8
92,25,しずくちゃん　20　ぎぼ りつこ／作・絵　岩崎書店　2013.3　21cm　54p,726.1,4-265-81084-0
92,25,"知っておきたい日本の年中行事事典　福田 アジオ／著　吉川弘文館　2012.2　22cm　13,201,6p",386.1,4-642-08068-2
92,25,小学五年生　重松 清／著　文藝春秋　2007.3　20cm　266p,913.6,4-16-325770-9
92,25,高砂　　（なくて七癖あって四十八癖 [2]）　宇江佐 真理／著　祥伝社　2013.9　20cm　247p,913.6,4-396-63419-3
92,25,デッドエンド　　（ボディーガード工藤兵悟）　今野 敏／[著]　角川春樹事務所　2012.3　20cm　284p,913.6,4-7584-1178-3
92,25,峠越え　伊東 潤／著　講談社　2014.1　20cm　268p,913.6,4-06-218763-3
92,25,逃走　薬丸 岳／著　講談社　2012.10　20cm　309p,913.6,4-06-217883-9
92,25,十津川警部影を追う　　（中公文庫 に7-46）　西村 京太郎／著　中央公論新社　2013.7　16cm　389p,913.6,4-12-205817-0
92,25,任?病院　今野 敏／著　実業之日本社　2011.10　20cm　366p,913.6,4-408-53594-4
92,25,破邪の剣　鳥羽 亮／著　徳間書店　2013.2　20cm　280p,913.6,4-19-863552-7
92,25,冬姫　葉室 麟／著　集英社　2011.12　20cm　357p,913.6,4-08-771433-3
92,25,ブラック・ジャック　5　手塚 治虫／著　秋田書店　1987　20cm　304p,726.1,4-253-09973-4
92,25,ブラック・ジャック　13　手塚 治虫／著　秋田書店　1994.1　20cm　289p,726.1,4-253-09981-5
92,25,ブラック・ジャック　16　手塚 治虫／著　秋田書店　2001.3　20cm　336p,726.1,4-253-09984-X
92,25,棟居刑事の代行人(ジ・エージェント)　森村 誠一／著　中央公論新社　2011.6　20cm　282p,913.6,4-12-004241-6
92,25,棟居刑事の見知らぬ旅人　森村 誠一／著　双葉社　2012.4　20cm　253p,913.6,4-575-23766-5
92,25,迷宮捜査　緒川 怜／著　光文社　2014.1　19cm　337p,913.6,4-334-92924-4
92,25,来春まで　　（お鳥見女房 [7]）　諸田 玲子／著　新潮社　2013.5　20cm　261p,913.6,4-10-423514-8
92,25,立身いたしたく候　梶 よう子／著　講談社　2014.2　19cm　331p,913.6,4-06-218795-4
