順位,貸出数,書誌情報,分類,ＩＳＢＮ
1,42,1Q84　BOOK1　村上 春樹／著　新潮社　2009.5　20cm　554p,913.6,4-10-353422-8
2,37,下町ロケット　[1]　池井戸 潤／著　小学館　2010.11　20cm　407p,913.6,4-09-386292-9
3,35,1Q84　BOOK2　村上 春樹／著　新潮社　2009.5　20cm　501p,913.6,4-10-353423-5
4,34,クローズアップ　今野 敏／著　集英社　2013.5　20cm　345p,913.6,4-08-771514-9
4,34,新検察捜査　中嶋 博行／著　講談社　2013.10　20cm　371p,913.6,4-06-218646-9
4,34,虎の尾　今野 敏／著　徳間書店　2014.1　20cm　346p,913.6,4-19-863731-6
4,34,モンスター　百田 尚樹／著　幻冬舎　2010.3　20cm　397p,913.6,4-344-01807-5
8,33,アクティブメジャーズ　今野 敏／著　文藝春秋　2013.8　20cm　325p,913.6,4-16-382370-6
8,33,謎解きはディナーのあとで　[1]　東川 篤哉／著　小学館　2010.9　19cm　255p,913.6,4-09-386280-6
8,33,予知夢　　（[ガリレオ] [2]）　東野 圭吾／著　文芸春秋　2000.6　20cm　238p,913.6,4-16-319290-5
8,33,ロスジェネの逆襲　　（[半沢直樹]）　池井戸 潤／著　ダイヤモンド社　2012.6　19cm　382p,913.6,4-478-02050-0
12,31,1Q84　BOOK3　村上 春樹／著　新潮社　2010.4　20cm　602p,913.6,4-10-353425-9
12,31,糸車　宇江佐 真理／著　集英社　2013.2　20cm　249p,913.6,4-08-771497-5
12,31,鬼風　　（浮雲十四郎斬日記 [5]）　鳥羽 亮／著　双葉社　2013.4　20cm　262p,913.6,4-575-23817-4
12,31,確証　今野 敏／著　双葉社　2012.7　20cm　342p,913.6,4-575-23778-8
12,31,影法師　百田 尚樹／著　講談社　2010.5　20cm　330p,913.6,4-06-216224-1
12,31,舟を編む　三浦 しをん／著　光文社　2011.9　20cm　259p,913.6,4-334-92776-9
12,31,ブラック・ジャック　1　手塚 治虫／著　秋田書店　1987　20cm　286p,726.1,4-253-09969-6
12,31,ブラック・ジャック　3　手塚 治虫／著　秋田書店　1987　20cm　316p,726.1,4-253-09971-8
20,30,初陣　　（隠蔽捜査 3.5）　今野 敏／著　新潮社　2010.5　20cm　291p,913.6,4-10-300254-3
20,30,傷　堂場 瞬一／著　講談社　2013.9　20cm　362p,913.6,4-06-218564-6
20,30,北の街物語　　（[浅見光彦シリーズ]）　内田 康夫／著　中央公論新社　2013.8　20cm　334p,913.6,4-12-004523-3
20,30,宰領　　（隠蔽捜査 5）　今野 敏／著　新潮社　2013.6　20cm　334p,913.6,4-10-300256-7
20,30,ブラック・ジャック　2　手塚 治虫／著　秋田書店　1987　20cm　301p,726.1,4-253-09970-X
25,29,悪道　[3]　森村 誠一／著　講談社　2013.7　20cm　302p,913.6,4-06-218437-3
25,29,おまえさん　上　宮部 みゆき／著　講談社　2011.9　20cm　506p,913.6,4-06-217252-3
25,29,千両かんばん　山本 一力／著　新潮社　2013.7　20cm　329p,913.6,4-10-460606-1
25,29,偸盗の夜　　（高瀬川女船歌）　澤田 ふじ子／著　中央公論新社　2013.9　20cm　285p,913.6,4-12-004538-7
25,29,夜鳴きめし屋　宇江佐 真理／著　光文社　2012.3　20cm　290p,913.6,4-334-92810-0
25,29,落英　黒川 博行／著　幻冬舎　2013.3　20cm　565p,913.6,4-344-02355-0
31,28,オレたちバブル入行組　　（[半沢直樹]）　池井戸 潤／著　文芸春秋　2004.12　19cm　317p,913.6,4-16-323600-7
31,28,海賊とよばれた男　上　百田 尚樹／著　講談社　2012.7　20cm　380p,913.6,4-06-217564-7
31,28,化合　今野 敏／著　講談社　2011.7　20cm　338p,913.6,4-06-216982-0
31,28,カッコウの卵は誰のもの　東野 圭吾／著　光文社　2010.1　20cm　357p,913.6,4-334-92694-6
31,28,記念日・祝日の事典　加藤 迪男／編　東京堂出版　2006.4　21cm　246p,386.9,4-490-10689-0
31,28,第?捜査官　安東 能明／著　徳間書店　2013.9　20cm　450p,913.6,4-19-863662-3
31,28,地層捜査　佐々木 譲／著　文藝春秋　2012.2　20cm　302p,913.6,4-16-381150-5
31,28,虹の見えた日　　（公事宿事件書留帳 [21]）　澤田 ふじ子／著　幻冬舎　2013.11　20cm　307p,913.6,4-344-02489-2
31,28,ペトロ　今野 敏／著　中央公論新社　2012.4　20cm　351p,913.6,4-12-004368-0
31,28,闇医者おゑん秘録帖　あさの あつこ／著　中央公論新社　2013.2　20cm　289p,913.6,4-12-004474-8
31,28,連写　　（TOKAGE 特殊遊撃捜査隊 3）　今野 敏／著　朝日新聞出版　2014.2　20cm　322p,913.6,4-02-251145-4
42,27,明日のことは知らず　　（髪結い伊三次捕物余話 [11]）　宇江佐 真理／著　文藝春秋　2012.8　20cm　269p,913.6,4-16-381580-0
42,27,甘いもんでもおひとつ　田牧 大和／著　文藝春秋　2013.10　19cm　281p,913.6,4-16-382610-3
