順位,貸出数,書誌情報,分類,ＩＳＢＮ
1,22,「教える技術」の鍛え方　樋口 裕一／著　筑摩書房　2009.4　19cm　199p,371.4,4-480-87801-4
1,22,学び方の科学　辰野 千壽／著　図書文化社　2006.8　21cm　230p,371.4,4-8100-6473-5
3,21,剣客船頭　　（光文社文庫 い37-17 光文社時代小説文庫 [剣客船頭] [1]）　稲葉 稔／著　光文社　2011.5　16cm　319p,913.6,4-334-74949-1
4,20,魚　　（小学館の図鑑NEO 4）　井田 齊／監修・執筆　小学館　2003.3　29cm　199p,487.5,4-09-217204-4
4,20,ダイイング・アイ　東野 圭吾／著　光文社　2007.11　20cm　372p,913.6,4-334-92581-9
6,19,往復書簡　湊 かなえ／著　幻冬舎　2010.9　20cm　265p,913.6,4-344-01883-9
6,19,おじいさんがかぶをうえました　福音館書店　2005.12　30cm　255p,19.5,4-8340-2147-5
6,19,高校生物とっておき勉強法　　（ブルーバックス B-1609）　岸本 博和／著　講談社　2008.8　18cm　169p,460.7,4-06-257609-3
6,19,告白　湊 かなえ／著　双葉社　2008　20?　268p,913.6,4-575-23628-6
6,19,宰領　　（隠蔽捜査 5）　今野 敏／著　新潮社　2013.6　20cm　334p,913.6,4-10-300256-7
6,19,天神橋心中　　（光文社文庫 い37-18 光文社時代小説文庫 剣客船頭 2）　稲葉 稔／著　光文社　2011.9　16cm　325p,913.6,4-334-74999-6
6,19,道徳授業は自分でつくる　　（Series教師のチカラ 2）　佐藤 幸司／著　日本標準　2008.4　21cm　157p,375.352,4-8208-0330-0
6,19,100万人が選んだ大絶賛おかず　　（レタスクラブMOOK COOKPAD もっと料理を楽しみに）　角川SSコミュニケーションズ　2007.5　26cm　104p,596,4-8275-4290-5
6,19,プラチナデータ　東野 圭吾／著　幻冬舎　2010.6　20cm　431p,913.6,4-344-01847-1
15,18,老花　　（徳間文庫 ま22-7 塩谷隼人江戸常勤記 4）　牧 秀彦／著　徳間書店　2014.2　15cm　347p,913.6,4-19-893798-0
15,18,思川契り　　（光文社文庫 い37-19 光文社時代小説文庫 剣客船頭 3）　稲葉 稔／著　光文社　2012.1　16cm　308p,913.6,4-334-76351-0
15,18,風斬り秘剣　　（廣済堂文庫 な-12-1 特選時代小説 ご落胤若さま武芸帖 [1]）　中岡 潤一郎／著　廣済堂出版　2012.9　16cm　290p,913.6,4-331-61491-4
15,18,カッコウの卵は誰のもの　東野 圭吾／著　光文社　2010.1　20cm　357p,913.6,4-334-92694-6
15,18,恐竜　　（小学館の図鑑NEO 11）　冨田 幸光／監修　小学館　2002.7　29cm　183p,457.87,4-09-217211-7
15,18,欠落　今野 敏／著　講談社　2013.1　20cm　340p,913.6,4-06-218039-9
15,18,剣に偽りなし　　（徳間文庫 ま22-5 塩谷隼人江戸常勤記 3）　牧 秀彦／著　徳間書店　2013.11　15cm　345p,913.6,4-19-893764-5
15,18,シンプル節約生活の正解　　（暮らしの正解シリーズ）　主婦の友社／編　主婦の友社　2009.7　24cm　127p,591,4-07-266666-1
15,18,妻恋河岸　　（光文社文庫 い37-20 光文社時代小説文庫 剣客船頭 4）　稲葉 稔／著　光文社　2012.5　16cm　299p,913.6,4-334-76413-5
15,18,手紙　東野 圭吾／著　毎日新聞社　2003.3　20cm　357p,913.6,4-620-10667-4
15,18,虎の尾　今野 敏／著　徳間書店　2014.1　20cm　346p,913.6,4-19-863731-6
15,18,秘剣、闇を斬る　　（廣済堂文庫 な-12-2 特選時代小説 ご落胤若さま武芸帖 [2]）　中岡 潤一郎／著　廣済堂出版　2013.4　16cm　307p,913.6,4-331-61523-2
15,18,ブルーマーダー　　（[姫川玲子シリーズ] [5]）　誉田 哲也／著　光文社　2012.11　20cm　436p,913.6,4-334-92855-1
15,18,真夏の方程式　　（[ガリレオ] [6]）　東野 圭吾／著　文藝春秋　2011.6　20cm　413p,913.6,4-16-380580-1
29,17,アクティブメジャーズ　今野 敏／著　文藝春秋　2013.8　20cm　325p,913.6,4-16-382370-6
29,17,"新しい特別活動指導論　高旗 正人／編著　ミネルヴァ書房　2011.2　21cm　8,201p",375.18,4-623-05996-6
29,17,裏店とんぼ　　（光文社文庫 研ぎ師人情始末）　稲葉 稔／著　光文社　2005.8　16cm　324p,913.6,4-334-73930-X
29,17,おいしいご当地スーパーマーケット　森井 ユカ／著　ダイヤモンド・ビッグ社　2013.3　21cm　187p,596,4-478-04394-3
29,17,北の街物語　　（[浅見光彦シリーズ]）　内田 康夫／著　中央公論新社　2013.8　20cm　334p,913.6,4-12-004523-3
29,17,仇敵　池井戸 潤／著　実業之日本社　2003.1　20cm　303p,913.6,4-408-53431-5
29,17,恐竜　　（小学館の図鑑NEO POCKET 4）　冨田 幸光／監修・執筆　小学館　2010.6　19cm　207p,457.87,4-09-217284-5
29,17,クローズアップ　今野 敏／著　集英社　2013.5　20cm　345p,913.6,4-08-771514-9
29,17,幸せの条件　誉田 哲也／著　中央公論新社　2012.8　20cm　384p,913.6,4-12-004415-1
29,17,少女　　（ハヤカワ・ミステリワールド）　湊 かなえ／著　早川書房　2009.1　20cm　279p,913.6,4-15-208995-3
29,17,贖罪　　（ミステリ・フロンティア 55）　湊 かなえ／著　東京創元社　2009.6　20cm　253p,913.6,4-488-01756-9
29,17,聖女の救済　　（[ガリレオ] [5]）　東野 圭吾／著　文藝春秋　2008.10　20cm　378p,913.6,4-16-327610-6
29,17,逃げ水の坂　　（双葉文庫 口入屋用心棒 [1]）　鈴木 英治／著　双葉社　2005.7　15cm　378p,913.6,4-575-66214-3
29,17,秘剣、柳生斬り　　（廣済堂文庫 な-12-3 特選時代小説 ご落胤若さま武芸帖 [3]）　中岡 潤一郎／著　廣済堂出版　2014.4　16cm　310p,913.6,4-331-61578-2
29,17,舟を編む　三浦 しをん／著　光文社　2011.9　20cm　259p,913.6,4-334-92776-9
29,17,ようこそ断捨離へ　やました ひでこ／著　宝島社　2010.6　19cm　285p,597.5,4-7966-7742-4
45,16,おいしくたべよう。　　（LEE）　栗原 はるみ／著　集英社　2010.4　25cm　208p,596,4-08-780559-8
45,16,鬼役　1　　（光文社文庫 さ26-5 光文社時代小説文庫）　坂岡 真／著　光文社　2012.4　16cm　307p,913.6,4-334-76401-2
45,16,恐竜　　（ポプラディア大図鑑WONDA 7）　真鍋 真／監修　ポプラ社　2013.6　29cm　190p,457.87,4-591-13486-3
45,16,限界集落株式会社　黒野 伸一／著　小学館　2011.11　19cm　381p,913.6,4-09-386315-5
45,16,年を重ねることはおもしろい。　吉沢 久子／著　さくら舎　2013.9　19cm　166p,914.6,4-906732-49-4
45,16,日本人の知らない日本語　[1]　蛇蔵／著　メディアファクトリー　2009.2　21cm　141p,810.4,4-8401-2673-1
45,16,抜かずの又四郎　　（双葉文庫 さ-26-19 帳尻屋始末 [1]）　坂岡 真／著　双葉社　2014.1　15cm　310p,913.6,4-575-66648-9
45,16,ねうちもん京都　グレゴリ青山／著　メディアファクトリー　2011.5　20cm　155p,291.62,4-8401-3885-7
45,16,灰色の犬　福澤 徹三／著　光文社　2013.9　20cm　508p,913.6,4-334-92897-1
45,16,果つる底なき　池井戸 潤／著　講談社　1998.9　20cm　330p,913.6,4-06-209367-7
45,16,人質　　（[道警シリーズ] [6]）　佐々木 譲／[著]　角川春樹事務所　2012.12　20cm　293p,913.6,4-7584-1207-0
45,16,秘密　東野 圭吾／著　文芸春秋　1998.9　20cm　415p,913.6,4-16-317920-8
45,16,BT'63　池井戸 潤／著　朝日新聞社　2003.6　20cm　531p,913.6,4-02-257843-2
45,16,夜明けの街で　東野 圭吾／著　角川書店　2007.6　20cm　336p,913.6,4-04-873788-3
59,15,赤い指　　（[加賀恭一郎シリーズ]）　東野 圭吾／著　講談社　2006.7　20cm　270p,913.6,4-06-213526-4
59,15,糸切れ凧　　（光文社文庫 い37-2 研ぎ師人情始末 2）　稲葉 稔／著　光文社　2006.4　16cm　344p,913.6,4-334-74054-5
59,15,おうちでスクールランチ39　　（たのしい食育BOOK）　群羊社　2012.4　26cm　95p,596,4-906182-77-0
59,15,確証　今野 敏／著　双葉社　2012.7　20cm　342p,913.6,4-575-23778-8
59,15,片づく収納&インテリア　　（主婦の友新きほんBOOKS INTERIOR）　主婦の友社／編　主婦の友社　2008.7　26cm　159p,597.5,4-07-261367-2
59,15,カツ代の野菜おかず　1　小林カツ代キッチンスタジオ／著　家の光協会　2008　26?　127p,596.3,4-259-56225-0
59,15,買わない習慣　金子 由紀子／著　アスペクト　2009.7　19cm　212p,590,4-7572-1693-8
59,15,99人の小さな転機のつくりかた　『ビッグイシュー日本版』編集部／編　大和書房　2010.12　19cm　405p,281.04,4-479-79306-9
59,15,検事の死命　柚月 裕子／著　宝島社　2013.9　20cm　338p,913.6,4-8002-1554-3
59,15,検事の本懐　柚月 裕子／著　宝島社　2011.11　20cm　376p,913.6,4-7966-8682-2
59,15,下町ロケット　[1]　池井戸 潤／著　小学館　2010.11　20cm　407p,913.6,4-09-386292-9
59,15,シャイロックの子供たち　池井戸 潤／著　文藝春秋　2006.1　19cm　305p,913.6,4-16-324630-4
59,15,収納・片付け・そうじバイブル　　（日経BPムック）　リアルシンプル ジャパン／編　日経BP社　2008.8　28cm　97p,597.9,4-8222-2261-1
59,15,新検察捜査　中嶋 博行／著　講談社　2013.10　20cm　371p,913.6,4-06-218646-9
59,15,節約上手な暮らし方　　（クロワッサンちゃんと役立つ実用の本）　マガジンハウス　2008.9　21cm　143p,591,4-8387-1902-0
59,15,民王　池井戸 潤／著　ポプラ社　2010.5　20cm　362p,913.6,4-591-11662-3
59,15,探偵ガリレオ　　（[ガリレオ] [1]）　東野 圭吾／著　文芸春秋　1998.5　20cm　293p,913.6,4-16-317720-5
59,15,代官山コールドケース　佐々木 譲／著　文藝春秋　2013.8　20cm　468p,913.6,4-16-382390-4
59,15,つぐみの佐平次　　（双葉文庫 さ-26-20 帳尻屋始末 [2]）　坂岡 真／著　双葉社　2014.2　15cm　309p,913.6,4-575-66653-3
59,15,動物　　（小学館の図鑑NEO POCKET 5）　成島 悦雄／指導・執筆　小学館　2011.7　19cm　207p,489.038,4-09-217285-2
59,15,怒刀　　（双葉文庫 ま-17-19 暗殺奉行 [2]）　牧 秀彦／著　双葉社　2014.5　15cm　303p,913.6,4-575-66668-7
59,15,日本人の知らない日本語　2　蛇蔵／著　メディアファクトリー　2010.2　21cm　159p,810.4,4-8401-3194-0
59,15,風塵の剣　1　　（角川文庫 い70-6）　稲葉 稔／[著]　角川書店　2013.2　15cm　290p,913.6,4-04-100702-0
59,15,深川思恋　　（光文社文庫 い37-21 光文社時代小説文庫 剣客船頭 5）　稲葉 稔／著　光文社　2012.9　16cm　317p,913.6,4-334-76464-7
59,15,和食の教科書ビギナーズ　岩崎 啓子／著　新星出版社　2011.11　24cm　191p,596.21,4-405-09214-3
84,14,あなたが愛した記憶　誉田 哲也／著　集英社　2012.6　20cm　331p,913.6,4-08-771452-4
84,14,あの頃の誰か　　（光文社文庫 ひ6-12）　東野 圭吾／著　光文社　2011.1　16cm　328p,913.6,4-334-74897-5
84,14,あまからカルテット　柚木 麻子／著　文藝春秋　2011.10　20cm　236p,913.6,4-16-380900-7
84,14,鬼役　8　　（光文社文庫 さ26-12 光文社時代小説文庫）　坂岡 真／著　光文社　2013.4　16cm　335p,913.6,4-334-76562-0
84,14,鬼役　9　　（光文社文庫 さ26-13 光文社時代小説文庫）　坂岡 真／著　光文社　2013.10　16cm　318p,913.6,4-334-76635-1
84,14,鬼役　10　　（光文社文庫 さ26-14 光文社時代小説文庫）　坂岡 真／著　光文社　2013.11　16cm　338p,913.6,4-334-76652-8
84,14,オレたちバブル入行組　　（[半沢直樹]）　池井戸 潤／著　文芸春秋　2004.12　19cm　317p,913.6,4-16-323600-7
84,14,「折れない心」をつくるたった1つの習慣　　（青春新書PLAY BOOKS P-919）　植西 聰／著　青春出版社　2011.4　18cm　205p,159,4-413-01919-4
84,14,陽炎の門　葉室 麟／著　講談社　2013.4　20cm　293p,913.6,4-06-218300-0
84,14,片想い　東野 圭吾／著　文芸春秋　2001.3　20cm　379p,913.6,4-16-319880-6
84,14,奸闘の緒　　（徳間文庫 う9-19 お髷番承り候 2）　上田 秀人／著　徳間書店　2011.4　16cm　317p,913.6,4-19-893339-5
84,14,ガリレオの苦悩　　（[ガリレオ] [4]）　東野 圭吾／著　文藝春秋　2008.10　20cm　339p,913.6,4-16-327620-5
84,14,気軽に手づくり!大人シュシュ　「気軽に手づくり!大人シュシュ」製作委員会／著　ソフトバンククリエイティブ　2009.9　21cm　95p,594,4-7973-5506-2
84,14,傷　堂場 瞬一／著　講談社　2013.9　20cm　362p,913.6,4-06-218564-6
84,14,境遇　湊 かなえ／著　双葉社　2011.10　20cm　244p,913.6,4-575-23739-9
84,14,逆流　　（越境捜査 [4]）　笹本 稜平／著　双葉社　2014.3　20cm　422p,913.6,4-575-23852-5
84,14,暮らしを美しくするコツ609　続　暮しの手帖編集部／著　暮しの手帖社　2012.10　21cm　203p,590,4-7660-0177-8
84,14,暮らしのヒント集　[1]　暮しの手帖編集部／著　暮しの手帖社　2009.4　19cm　219p,590,4-7660-0161-7
84,14,紅川疾走　　（光文社文庫 い37-25 光文社時代小説文庫 剣客船頭 9）　稲葉 稔／著　光文社　2014.3　16cm　293p,913.6,4-334-76712-9
84,14,穢れた手　堂場 瞬一／著　東京創元社　2013.1　20cm　346p,913.6,4-488-02711-7
84,14,サファイア　湊 かなえ／[著]　角川春樹事務所　2012.4　20cm　281p,913.6,4-7584-1193-6
84,14,執着　　（捜査一課・澤村慶司 [3]）　堂場 瞬一／著　角川書店　2013.2　20cm　388p,913.6,4-04-110394-4
84,14,春風伝　葉室 麟／著　新潮社　2013.2　20cm　488p,913.6,4-10-328012-5
84,14,洲崎雪舞　　（光文社文庫 い37-22 光文社時代小説文庫 剣客船頭 6）　稲葉 稔／著　光文社　2013.3　16cm　294p,913.6,4-334-76540-8
84,14,捨てる!片づける!時間ができる!　エレイン・S.ジェイムズ／著　ダイヤモンド社　2006.10　19cm　218p,590.4,4-478-73336-8
84,14,"スペイン・ポルトガル史　　（新版世界各国史 16）　立石 博高／編　山川出版社　2000　20?　9,464,96p",236,4-634-41460-0
84,14,潜謀の影　　（徳間文庫 う9-18 お髷番承り候 1）　上田 秀人／著　徳間書店　2010.10　16cm　349p,913.6,4-19-893235-0
84,14,できるゼロからはじめるパソコン超入門　法林 岳之／著　インプレスジャパン　2013.10　24cm　254p,7.6,4-8443-3487-3
84,14,ドンナビアンカ　誉田 哲也／著　新潮社　2013.2　20cm　343p,913.6,4-10-465204-4
84,14,2色で楽しむ刺?生活　樋口 愉美子／著　文化学園文化出版局　2014.6　15×22cm　95p,594.2,4-579-11491-7
84,14,布びより　　（タツミムック）　坂井 きよみ／著　辰巳出版　2008.1　24cm　95p,594,4-7778-0479-5
84,14,ハング　誉田 哲也／著　徳間書店　2009.9　20cm　349p,913.6,4-19-862807-9
84,14,晩ごはん、これ作ろうケンタロウ100レシピ　　（LEE）　ケンタロウ／著　集英社　2008.10　26cm　127p,596,4-08-102077-5
84,14,"ピアノと向きあう　奥 千絵子／著　春秋社　2010.11　21cm　2,339p",763.2,4-393-93784-6
84,14,風塵の剣　2　　（角川文庫 い70-7）　稲葉 稔／[著]　角川書店　2013.3　15cm　264p,913.6,4-04-100751-8
84,14,風塵の剣　3　　（角川文庫 い70-8）　稲葉 稔／[著]　角川書店　2013.4　15cm　273p,913.6,4-04-100790-7
84,14,風塵の剣　5　　（角川文庫 い70-10）　稲葉 稔／[著]　KADOKAWA　2014.2　15cm　286p,913.6,4-04-101233-8
84,14,文具の定番365　　（エイムック 2740）　?出版社　2013.12　29cm　144p,589.7,4-7779-3021-0
84,14,本所騒乱　　（光文社文庫 い37-24 光文社時代小説文庫 剣客船頭 8）　稲葉 稔／著　光文社　2014.1　16cm　302p,913.6,4-334-76687-0
84,14,迷い鳥　　（光文社文庫 い37-6 研ぎ師人情始末 6）　稲葉 稔／著　光文社　2007.12　16cm　312p,913.6,4-334-74357-4
84,14,水を抱く　石田 衣良／著　新潮社　2013.8　20cm　322p,913.6,4-10-459506-8
84,14,無縁旅人　香納 諒一／著　文藝春秋　2014.3　20cm　334p,913.6,4-16-390038-4
84,14,免疫力を高める毎日の健康おかず　　（Healthy recipe）　牧野 直子／監修　成美堂出版　2005.1　24cm　159p,596,4-415-02884-5
84,14,もっとうまくなる!剣道　　（スポーツVシリーズ）　卯木 照邦／著　ナツメ社　2008.1　21cm　231p,789.3,4-8163-4431-2
84,14,夕雨子　三浦 哲郎／著　講談社　1971　20cm　260p,913.6,
84,14,友罪　薬丸 岳／著　集英社　2013.5　20cm　523p,913.6,4-08-771493-7
84,14,冷凍保存の教科書ビギナーズ　吉田 瑞子／著　新星出版社　2011.4　24cm　175p,596,4-405-09202-0
84,14,連写　　（TOKAGE 特殊遊撃捜査隊 3）　今野 敏／著　朝日新聞出版　2014.2　20cm　322p,913.6,4-02-251145-4
